StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q3_1,Q3_2,Q4_1,Q4_2,Q4_3,Q7_1,Q5
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Please enter your participant number,Say how much you agree or disagree with the following statements: - How much do you think you would benefit from health and other gains if you were to quit smoking permanently in the next 6 months?,Say how much you agree or disagree with the following statements: - How much would quitting smoking altogether right now reduce your chances of getting a serious illness?,"Say how much you agree or disagree with the following statements: - If I decided to give up smoking completely in the next 6 months, I'm sure I would succeed.",Say how much you agree or disagree with the following statements: - I am confident I could quit smoking altogether right now.,Say how much you agree or disagree with the following statements: - I could easily cut down the number of cigarettes I smoke.,". - When you think about quitting smoking, how hopeful do you feel?","Which of the statements below sounds most like
you?"
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID5""}"
2019-04-11 09:43:59,2019-04-11 09:44:30,IP Address,100,31,True,2019-04-11 09:44:30,R_2PvbGQnsj4eiRpA,anonymous,EN-GB,0,52,97,38,43,47,41,"I never think about quitting smoking, and I have no plans to quit."
2019-04-13 22:04:37,2019-04-13 22:04:55,IP Address,100,17,True,2019-04-13 22:04:55,R_2RQSpdtM7fX3yX1,anonymous,EN-GB,333,84,75,80,87,69,84,I have decided not to quit smoking for my lifetime. I have no interest in quitting.
2019-04-23 22:52:13,2019-04-23 22:52:56,IP Address,100,42,True,2019-04-23 22:52:56,R_3L0Cvt2dC1YPLLt,anonymous,EN-GB,558,86,82,55,49,42,76,I definitely plan to quit smoking in the next 6 months.
2019-04-26 12:32:04,2019-04-26 12:32:10,IP Address,20,5,False,2019-04-26 16:32:39,R_803TwExpmb8QiiZ,anonymous,EN-GB,,,,,,,,
2019-04-26 22:14:12,2019-04-26 22:14:52,IP Address,100,40,True,2019-04-26 22:14:52,R_3L1svwmx3nFxSWB,anonymous,EN-GB,558,72,73,65,49,57,59,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-04-28 21:02:01,2019-04-28 21:02:26,IP Address,100,25,True,2019-04-28 21:02:26,R_2uQK7LW8U20SQXG,anonymous,EN-GB,558,73,66,64,65,53,62,"I often think about quitting smoking, but I have no plans to quit."
2019-04-29 05:19:51,2019-04-29 05:21:32,IP Address,100,100,True,2019-04-29 05:21:32,R_1LwKC9kLeHxnNJS,anonymous,EN-GB,278,93,98,49,3,25,29,"I often think about quitting smoking, but I have no plans to quit."
2019-04-29 22:27:23,2019-04-29 22:27:55,IP Address,100,32,True,2019-04-29 22:27:56,R_2wnqOFqYBYAoTid,anonymous,EN-GB,558,76,69,72,66,74,68,"I often think about quitting smoking, but I have no plans to quit."
2019-05-02 21:38:30,2019-05-02 21:38:47,IP Address,100,17,True,2019-05-02 21:38:48,R_3PhIzqkfBpGmgB1,anonymous,EN-GB,558,63,60,67,66,65,70,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-02 21:38:21,2019-05-02 21:38:25,IP Address,20,3,False,2019-05-03 01:39:00,R_3NVzIpwEJvSa0hN,anonymous,EN-GB,55,,,,,,,
2019-05-03 21:04:11,2019-05-03 21:05:13,IP Address,100,61,True,2019-05-03 21:05:13,R_1pDrlyJL7axAr2p,anonymous,EN-GB,608,58,72,82,24,37,22,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-04 22:30:40,2019-05-04 22:32:05,IP Address,100,85,True,2019-05-04 22:32:05,R_3O3r6IlootqQzM1,anonymous,EN-GB,148,61,21,82,70,100,60,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-05 19:03:39,2019-05-05 19:05:35,IP Address,100,116,True,2019-05-05 19:05:35,R_323hnLnhlTsls7W,anonymous,EN-GB,278,99,87,59,10,93,34,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-05 21:10:56,2019-05-05 21:11:15,IP Address,100,19,True,2019-05-05 21:11:15,R_pLR7z2XHjxgf0bf,anonymous,EN-GB,558,78,74,75,74,78,73,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-06 21:07:18,2019-05-06 21:07:34,IP Address,100,16,True,2019-05-06 21:07:35,R_1rkvjfFrUQl2EFP,anonymous,EN-GB,558,69,72,76,79,74,74,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-08 00:13:02,2019-05-08 00:16:08,IP Address,100,185,True,2019-05-08 00:16:08,R_264RKqcvQH70Up7,anonymous,EN-GB,148,86,100,100,60,61,43,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-08 21:54:48,2019-05-08 21:55:04,IP Address,100,16,True,2019-05-08 21:55:05,R_2EgwDXTz3Ldwsz8,anonymous,EN-GB,558,79,79,79,81,79,84,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-10 21:04:58,2019-05-10 21:06:01,IP Address,100,63,True,2019-05-10 21:06:01,R_XEOJjwkWzcN38NH,anonymous,EN-GB,278,97,99,40,50,79,17,"I often think about quitting smoking, but I have no plans to quit."
2019-05-10 21:11:00,2019-05-10 21:43:16,IP Address,100,1935,True,2019-05-10 21:43:16,R_1IlO8s6X2Vk56vk,anonymous,EN-GB,278,100,97,51,10,97,13,"I often think about quitting smoking, but I have no plans to quit."
2019-05-10 23:33:50,2019-05-10 23:35:02,IP Address,100,72,True,2019-05-10 23:35:03,R_yR92uT6PIxNnD0d,anonymous,EN-GB,148,89,40,81,50,94,52,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-11 21:15:52,2019-05-11 21:16:12,IP Address,100,20,True,2019-05-11 21:16:12,R_ThdJoNlniB7LYWd,anonymous,EN-GB,558,74,72,69,65,65,71,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-13 21:03:07,2019-05-13 21:04:19,IP Address,100,71,True,2019-05-13 21:04:19,R_WCcBfuY95bXbjm9,anonymous,EN-GB,278,88,99,53,10,50,39,I definitely plan to quit smoking in the next 6 months.
2019-05-13 21:03:36,2019-05-13 21:05:32,IP Address,100,116,True,2019-05-13 21:05:32,R_3nixh4qO4F6WlGO,anonymous,EN-GB,476,98,30,12,7,7,50,"I often think about quitting smoking, but I have no plans to quit."
2019-05-13 22:11:43,2019-05-13 22:12:38,IP Address,100,54,True,2019-05-13 22:12:38,R_p3KFXqx1gliEwO5,anonymous,EN-GB,148,86,100,88,53,97,53,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-14 22:50:43,2019-05-14 22:51:08,IP Address,100,24,True,2019-05-14 22:51:08,R_cSCSI1vHyQ0csAp,anonymous,EN-GB,558,80,73,80,76,79,71,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-15 21:05:09,2019-05-15 21:05:54,IP Address,100,44,True,2019-05-15 21:05:54,R_A0NwWshCMQwITyF,anonymous,EN-GB,608,72,40,18,13,31,24,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-15 21:05:02,2019-05-15 21:05:05,IP Address,20,3,False,2019-05-16 01:05:24,R_22AqY9PSE4LM5lp,anonymous,EN-GB,607,,,,,,,
2019-05-16 21:03:58,2019-05-16 21:05:14,IP Address,100,76,True,2019-05-16 21:05:15,R_2bNam6EkBVutsAk,anonymous,EN-GB,476,100,100,71,51,71,50,"I often think about quitting smoking, but I have no plans to quit."
2019-05-16 22:26:43,2019-05-16 22:27:54,IP Address,100,70,True,2019-05-16 22:27:54,R_3pmoD9B7kKJSQUI,anonymous,EN-GB,148,100,80,61,28,65,58,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-17 00:38:00,2019-05-17 00:38:55,IP Address,100,55,True,2019-05-17 00:38:55,R_1C0X8oA34ZOFt5j,anonymous,EN-GB,278,100,89,22,15,92,20,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-18 22:19:58,2019-05-18 22:20:35,IP Address,100,36,True,2019-05-18 22:20:35,R_1dEVINh2q22vjSV,anonymous,EN-GB,608,49,45,57,33,31,25,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-19 21:06:18,2019-05-19 21:07:16,IP Address,100,58,True,2019-05-19 21:07:17,R_3hbA8HTBSRbrGWS,anonymous,EN-GB,278,100,100,12,1,53,1,"I often think about quitting smoking, but I have no plans to quit."
2019-05-19 22:03:32,2019-05-19 22:04:40,IP Address,100,68,True,2019-05-19 22:04:40,R_vogFOY9YwNKjEU9,anonymous,EN-GB,476,100,100,26,12,57,54,"I often think about quitting smoking, but I have no plans to quit."
2019-05-20 00:26:31,2019-05-20 00:27:53,IP Address,100,81,True,2019-05-20 00:27:53,R_3J7LSMhShfiUCBm,anonymous,EN-GB,148,96,78,69,41,90,42,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-19 23:04:11,2019-05-19 23:04:17,IP Address,20,6,False,2019-05-20 03:04:25,R_puRdOOwyLGfHcgV,anonymous,EN-GB,278,,,,,,,
2019-05-22 05:12:42,2019-05-22 05:13:19,IP Address,100,37,True,2019-05-22 05:13:20,R_2UgSR1hnDqo6dv3,anonymous,EN-GB,608,57,60,48,37,26,20,"I sometimes think about quitting smoking, but I have no plans to quit."
2019-05-23 01:52:41,2019-05-23 01:53:37,IP Address,100,55,True,2019-05-23 01:53:37,R_z8U1wTfQSHFBA9r,anonymous,EN-GB,148,95,77,74,54,95,57,"I often think about quitting smoking, but I have no plans to quit."
2019-05-25 21:30:48,2019-05-25 21:31:50,IP Address,100,62,True,2019-05-25 21:31:51,R_1mRH0PPMcefLwVJ,anonymous,EN-GB,476,100,51,90,52,79,72,I definitely plan to quit smoking in the next 6 months.
2019-05-26 03:36:01,2019-05-26 03:36:55,IP Address,100,53,True,2019-05-26 03:36:55,R_12i2egL3u9F4BNm,anonymous,EN-GB,148,73,86,73,50,97,63,"I often think about quitting smoking, but I have no plans to quit."
