StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q3,Q4_1,Q7_1,Q10_1,Q10_2,Q10_3,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q15_3,Q19_1,Q19_2,Q19_3,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21_1,Q21_2,Q21_3,Q22_1,Q22_2,Q22_3,Q25_1,Q25_2,Q25_3,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q27_1,Q27_2,Q27_3,Q28_1,Q28_2,Q28_3,Q31_1,Q31_2,Q31_3,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q33_1,Q33_2,Q33_3,Q34_1,Q34_2,Q34_3,Q37_1,Q37_2,Q37_3,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q39_1,Q39_2,Q39_3,Q40_1,Q40_2,Q40_3,Q43_1,Q43_2,Q43_3,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q45_1,Q45_2,Q45_3,Q46_1,Q46_2,Q46_3
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Please enter your participant number,"Which of the statements below sounds most like
you?",". - To what extent, if at all, do you think that smoking will damage your health in the future?",". - If smoking damaged your health in the future, how severe would this damage be?",This warning make me feel... - ...disgusted,This warning make me feel... - ...scared,This warning make me feel... - ...regretful,This warning... - ...is believable,This warning... - ...makes me think about the health problems caused by smoking,This warning... - ...discourages me from wanting to smoke,This warning... - ...makes smoking seem unpleasant to me,This warning... - ...makes me concerned about the health effects of smoking,. - This warning is trying to manipulate me,. - The health effect of this warning is overblown,. - This warning annoys me,If I saw this warning on my cigarette pack I would... - ...try to avoid thinking about it,If I saw this warning on my cigarette pack I would... - ...try to avoid looking at it,If I saw this warning on my cigarette pack I would... - ...keep the pack out of sight to avoid looking at the warning,This warning make me feel... - ...disgusted,This warning make me feel... - ...scared,This warning make me feel... - ...regretful,This warning... - ...is believable,This warning... - ...makes me think about the health problems caused by smoking,This warning... - ...discourages me from wanting to smoke,This warning... - ...makes smoking seem unpleasant to me,This warning... - ...makes me concerned about the health effects of smoking,. - This warning is trying to manipulate me,. - The health effect of this warning is overblown,. - This warning annoys me,If I saw this warning on my cigarette pack I would... - ...try to avoid thinking about it,If I saw this warning on my cigarette pack I would... - ...try to avoid looking at it,If I saw this warning on my cigarette pack I would... - ...keep the pack out of sight to avoid looking at the warning,This warning make me feel... - ...disgusted,This warning make me feel... - ...scared,This warning make me feel... - ...regretful,This warning... - ...is believable,This warning... - ...makes me think about the health problems caused by smoking,This warning... - ...discourages me from wanting to smoke,This warning... - ...makes smoking seem unpleasant to me,This warning... - ...makes me concerned about the health effects of smoking,. - This warning is trying to manipulate me,. - The health effect of this warning is overblown,. - This warning annoys me,If I saw this warning on my cigarette pack I would... - ...try to avoid thinking about it,If I saw this warning on my cigarette pack I would... - ...try to avoid looking at it,If I saw this warning on my cigarette pack I would... - ...keep the pack out of sight to avoid looking at the warning,This warning make me feel... - ...disgusted,This warning make me feel... - ...scared,This warning make me feel... - ...regretful,This warning... - ...is believable,This warning... - ...makes me think about the health problems caused by smoking,This warning... - ...discourages me from wanting to smoke,This warning... - ...makes smoking seem unpleasant to me,This warning... - ...makes me concerned about the health effects of smoking,. - This warning is trying to manipulate me,. - The health effect of this warning is overblown,. - This warning annoys me,If I saw this warning on my cigarette pack I would... - ...try to avoid thinking about it,If I saw this warning on my cigarette pack I would... - ...try to avoid looking at it,If I saw this warning on my cigarette pack I would... - ...keep the pack out of sight to avoid looking at the warning,This warning make me feel... - ...disgusted,This warning make me feel... - ...scared,This warning make me feel... - ...regretful,This warning... - ...is believable,This warning... - ...makes me think about the health problems caused by smoking,This warning... - ...discourages me from wanting to smoke,This warning... - ...makes smoking seem unpleasant to me,This warning... - ...makes me concerned about the health effects of smoking,. - This warning is trying to manipulate me,. - The health effect of this warning is overblown,. - This warning annoys me,If I saw this warning on my cigarette pack I would... - ...try to avoid thinking about it,If I saw this warning on my cigarette pack I would... - ...try to avoid looking at it,If I saw this warning on my cigarette pack I would... - ...keep the pack out of sight to avoid looking at the warning,This warning make me feel... - ...disgusted,This warning make me feel... - ...scared,This warning make me feel... - ...regretful,This warning... - ...is believable,This warning... - ...makes me think about the health problems caused by smoking,This warning... - ...discourages me from wanting to smoke,This warning... - ...makes smoking seem unpleasant to me,This warning... - ...makes me concerned about the health effects of smoking,. - This warning is trying to manipulate me,. - The health effect of this warning is overblown,. - This warning annoys me,If I saw this warning on my cigarette pack I would... - ...try to avoid thinking about it,If I saw this warning on my cigarette pack I would... - ...try to avoid looking at it,If I saw this warning on my cigarette pack I would... - ...keep the pack out of sight to avoid looking at the warning
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID26_5""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID43_3""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID44_5""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID46_3""}"
2019-04-11 10:13:52,2019-04-11 10:15:44,IP Address,100,111,True,2019-04-11 10:15:44,R_1gi7ckeUEwG7PmT,anonymous,EN-GB,333,"I sometimes think about quitting smoking, but I have no plans to quit.",68,88,79,77,82,78,78,83,81,82,84,67,50,74,71,79,62,22,65,86,91,60,72,82,52,79,95,77,86,88,72,69,65,89,86,82,84,77,72,76,76,80,86,76,46,70,55,74,79,81,86,84,86,88,85,81,86,83,65,88,95,75,63,65,100,59,27,68,69,62,83,69,70,42,25,79,89,76,87,85,72,87,79,84,63,43
2019-04-11 10:25:43,2019-04-11 10:27:42,IP Address,55,118,False,2019-04-11 14:27:43,R_31NwaeJUYULue1f,anonymous,EN-GB,222,"I never think about quitting smoking, and I have no plans to quit.",38,47,17,10,15,14,81,16,17,21,19,29,14,29,87,26,85,40,45,36,67,51,51,61,51,53,62,88,96,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,65,12,25,53,8,65,61,17,32,17,77,80,80
2019-04-18 13:22:00,2019-04-18 13:26:50,IP Address,100,290,True,2019-04-18 13:26:51,R_1GWxtFdoNXTv04Z,anonymous,EN-GB,558,I definitely plan to quit smoking in the next 6 months.,97,92,20,42,48,90,67,47,31,60,21,19,22,83,50,17,49,48,51,91,40,56,41,42,21,10,10,17,14,17,68,67,67,88,74,75,76,79,21,4,11,12,10,17,58,47,56,95,67,49,54,62,9,8,9,79,15,12,71,72,69,97,44,69,68,71,30,8,8,29,15,11,29,29,30,89,29,29,29,29,26,27,26,40,12,14
2019-04-26 10:10:00,2019-04-26 10:16:08,IP Address,100,367,True,2019-04-26 10:16:08,R_2RQ9oMqGN467Z6R,anonymous,EN-GB,278,"I sometimes think about quitting smoking, but I have no plans to quit.",100,84,99,1,2,2,2,2,4,3,96,98,99,100,96,99,99,1,2,97,94,13,95,58,3,2,98,3,99,100,97,3,1,97,99,65,96,96,2,58,98,100,99,99,100,1,1,53,96,1,100,98,55,58,100,100,99,97,97,1,1,98,99,31,58,60,2,71,99,100,99,100,57,3,1,99,1,30,34,94,6,2,100,2,100,100
2019-05-01 13:13:08,2019-05-01 13:17:50,IP Address,100,281,True,2019-05-01 13:17:50,R_qCPMDwUwPsgrjYB,anonymous,EN-GB,608,"I rarely think about quitting smoking, and I have no plans to quit.",70,73,6,6,10,29,11,11,8,9,50,32,3,5,6,5,30,6,3,35,25,7,24,6,54,13,3,7,9,9,11,7,8,53,10,11,15,7,50,10,13,8,6,9,13,13,28,46,39,16,14,19,51,17,16,10,11,9,6,7,7,56,41,6,6,7,52,6,5,5,6,6,5,6,6,36,22,2,27,20,58,20,6,5,7,7
2019-05-02 11:15:53,2019-05-02 11:22:39,IP Address,100,406,True,2019-05-02 11:22:40,R_1QaOo8nuuNmGw5K,anonymous,EN-GB,148,"I rarely think about quitting smoking, and I have no plans to quit.",64,73,5,11,6,14,2,2,3,3,50,69,50,3,3,3,94,51,34,94,59,34,32,66,3,5,19,78,79,40,78,80,51,100,100,79,85,93,5,10,10,83,93,61,90,32,16,24,17,13,14,17,58,62,37,46,14,23,47,49,82,93,60,20,39,61,5,5,20,6,6,6,78,31,12,72,58,20,40,65,4,5,41,73,82,29
2019-05-02 11:13:36,2019-05-02 11:15:52,IP Address,25,135,False,2019-05-02 15:16:49,R_3DqMpfvtWZTNVOR,anonymous,EN-GB,148,"I rarely think about quitting smoking, and I have no plans to quit.",82,92,4,7,3,8,4,12,2,1,41,77,64,6,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-08 09:43:13,2019-05-08 09:52:12,IP Address,100,538,True,2019-05-08 09:52:12,R_so3TUKtfTIJ5hvP,anonymous,EN-GB,476,"I often think about quitting smoking, but I have no plans to quit.",90,90,1,1,1,2,3,1,1,2,100,100,20,2,1,2,100,100,100,100,100,100,100,100,100,20,2,100,100,100,100,100,100,100,100,100,100,100,100,5,2,100,100,100,85,100,100,50,100,20,100,100,90,25,70,100,100,100,100,100,100,100,100,100,100,100,100,2,1,100,100,100,20,100,100,20,20,1,100,90,100,80,20,100,100,100
