,comment1,comment2,comment3,comment4,comment5,comment6,comment7,comment8,comment9,comment10,comment11,comment12,comment13,comment14,comment15,comment16,comment17,comment18,comment19,comment20,comment21,comment22,comment23,comment24,comment25,comment26,comment27,comment28,comment29,comment30,comment31,comment32,comment33,comment34,comment35,comment36,comment37,comment38,comment39,comment40,comment41,comment42,comment43,comment44,comment45,comment46,comment47,comment48,comment49,comment50,comment51,comment52,comment53,comment54,comment55,comment56,comment57
0,Interesting information..,1 person won't make a difference,,,,,,,Not interested in government spending ,,,,1 person won't make a difference,1 person won't make a difference,,I do that already,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,This is a good point as I didn't realise there was plastic in cigarette butts.,,,,,,,,,,,I don't believe they are that harmful to wildlife.,More about environmental impact than giving up smoking. I think if someone wants to smoke then they wouldn't be too bothered about the damage they cause to the environment.,,Most smokers wouldn't be too bothered about this as they don't throw that many away each.,This message is basically telling you not to litter with your cigarette butts. As such I don't think it would have any impact at all on motivating someone to quit smoking.,This would have more of an impact on me as I would like to be able to breathe better. Not sure if it would be the clincher to giving up though.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,This aspect of smoking has not been something that I have thought about previously. I have always made an effort not to litter bu the idea of them being a form of plastic litter is a new one to me and at this point is not important to me and my smoking habit,As my previous reply this aspect of smoking has not been one that I have thought about previously,,,,,,,,See previous replies ,As before,,I don't flick my butts so this message has no relevance to me,,,I do dispose of my butts responsibly so feel that this message is not one that resonated with me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,"It would make no difference to me as a smoker, it encourages smoking",I don't throw cigarettes on the ground anyway,,,,,,I don't throw my cigarette butts on the ground - doesn't feel relevant,,,Doesn't seem to be focused on quitting smoking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,This offer would not attract me as an individual ,I do use the bin to avoid being fined ,,I know itâ€™s expensive to clear away litter but people need to learn to use the bin which is what I do.,I knew cigarettes littering is very common and is no surprise that this is the highest type of litter found in the streets etc,This would not affect me as I have a habit of smoking and a lot of people smoke so I donâ€™t worry about the environment.,,,,,I do this already therefore would not convince me to stop smoking ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,I smoke roll ups,,,It does make me feel bad although all my ends go into my bin,,Giving me an ashtray is in no way making me want to stop or encouraging me,,,,,,,Doesn't sound true,,Is that more than nail clippings?,I only smoke at home so I clean them anyway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,"Rather than make me quit, I would be asking tobacco companies to find a solution to this issue",,,,"This doesn't motivate me to quit,it is just a helpful message",,,,,,,There should be harsher penalties for those caught acting irresponsble,"Again I understand the environmental issue, but it doesn't motivate me massively as there are so many other environmental issues,which I generally do help with","I do understand the litter issue, but I'm usually responsible and don't feel it commit to this problem. Chewing Gum is almost as bad in my opinion and is so hard to clean up, so feel this aims to demonise smokers.","I always dispose of cigarettes in the correct manner, so not massively motivational, although it does remind me that it isn't the cleanest of habits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,No comments same as before ,This actually really annoys me! I would love people not to ruin the beaches ,,,,,,,,Doesnâ€™t make me want to stop smoking ,Doesnâ€™t make me want to stop smoking however I will be more careful in future if I throw a cigarette ,,,Doesnâ€™t really make me want to stop smoking. I think that measures need to be put in place to dispose of them. ,Doesnâ€™t make me want to stop smoking but I dispose properly anyway ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,This might tug on the heart strings of people and make them consider quitting,I personally clean up my butts and this wouldnâ€™t make me change anything I already do.,,,It would just make me consider getting a personal ashtray ,,,,"Again, I clean up my own butts and rarely litter in general. It is unlikely to affect my actions.",,,,This is more like to make me quit as it gives a better view of the amount of impact I have as a smoker to the wider environment,,A good number of the smokers I know already do this. It wouldnâ€™t make me want to quit though.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,I am surprised the figure is so high,,,,As long as there are adequate provisions of bins and ashtrays there is no reason to drop them on the streets,the majority of cigarette filters never make it as far as the water so the risk posed to water quality is minimal,it motivates me to put butts in a bin,,,if this is true why has it never been publicised,,,,it encourages me to make sure I tidy up but not to quit smoking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
