Efficacy-1 Say how much you agree or disagree with the following statements: - Quitting smoking would lower my chances of getting cancer.,Efficacy-2 Say how much you agree or disagree with the following statements: - Quitting smoking would lower my chances of getting heart disease.,Efficacy-3 Say how much you agree or disagree with the following statements: - Quitting smoking would lower my chances of getting a permanent breathing problem.,Efficacy-4 Say how much you agree or disagree with the following statements: - Quitting smoking means I reduce my chance of serious illness.,Efficacy-5 Say how much you agree or disagree with the following statements: - I could easily cut down the number of cigarettes I smoke.,Efficacy – 6 Say how much you agree or disagree with the following statements: - I see myself as being capable of quitting smoking in the next 2 months if I wanted to.,"Efficacy-7 Say how much you agree or disagree with the following statements: - If I decided to give up smoking completely in the next 6 months, Iâ€™m sure that I would succeed."
90,90,90,90,33,50,66
20,19,19,18,62,62,77
88,88,88,89,21,27,32
100,100,100,100,100,100,100
62,69,88,88,53,45,31
68,56,97,97,17,1,14
81,70,69,45,48,80,79
10,35,35,35,65,65,65
100,100,100,100,5,0,0
80,80,79,80,29,14,4
73,69,71,72,40,55,50
81,96,95,88,81,98,45
61,64,67,64,85,67,74
56,75,47,88,75,95,91
10,12,69,65,16,8,8
100,100,100,100,20,5,20
72,66,63,79,54,64,65
80,80,80,79,48,21,62
70,70,70,70,53,41,71
50,50,50,50,50,50,50
61,61,60,66,40,13,20
95,94,95,80,66,58,86
90,92,92,92,95,90,94
83,87,100,84,80,81,64
100,100,100,100,47,47,46
80,70,80,78,60,60,81
85,83,79,84,65,79,82
80,82,79,82,48,51,52
99,99,99,99,81,60,49
100,100,100,100,80,39,60
100,100,100,100,100,97,100
100,100,100,100,100,53,100
64,48,72,29,86,50,50
100,100,100,100,39,100,100
100,99,99,99,50,81,81
100,100,100,78,50,35,50
40,54,78,50,100,100,100
100,100,100,100,61,49,22
98,96,96,96,38,39,4
100,100,100,100,91,82,70
99,99,100,99,70,49,69
82,84,63,75,17,15,9
39,78,85,80,91,92,100
100,100,100,100,100,61,40
100,100,100,100,52,81,55
100,100,100,100,70,61,71
81,69,89,81,41,53,50
100,100,100,100,41,100,100
83,65,65,65,51,31,34
41,47,66,55,64,47,74
79,74,76,71,25,32,36
99,100,99,99,99,80,63
53,51,50,56,78,83,75
80,70,98,73,10,16,15
100,100,100,100,20,50,50
98,98,96,97,4,3,49
60,60,80,60,80,20,20
78,75,92,73,14,8,28
48,53,53,42,40,62,71
81,79,79,81,39,89,88
99,95,97,96,3,2,4
99,100,99,99,3,1,2
100,100,100,100,50,50,50
89,89,92,66,90,95,91
40,41,52,46,84,88,100
86,80,80,77,38,51,52
100,100,100,100,20,6,13
80,80,100,100,80,60,100
100,100,100,100,20,12,5
67,88,84,90,81,67,85
100,100,100,100,100,100,99
100,100,100,100,100,100,100
100,100,100,100,19,23,18
94,94,94,77,62,50,39
80,80,100,70,80,50,50
100,100,100,100,20,40,40
81,73,74,66,59,71,59
64,53,78,18,83,84,69
100,100,100,100,21,21,28
86,92,100,100,97,99,100
98,98,98,100,42,11,10
100,100,100,100,90,90,90
100,100,100,98,41,36,69
99,97,97,98,43,60,30
100,100,100,100,79,100,100
100,100,100,100,70,20,50
100,100,100,100,61,53,56
82,82,81,81,41,21,34
87,82,84,81,29,5,10
83,84,97,98,50,41,81
,100,100,100,100,100,100
100,100,100,100,60,60,83
74,70,70,73,52,57,57
100,100,100,100,76,83,48
67,71,81,83,60,71,92
50,10,40,30,40,40,60
58,65,57,50,79,3,65
100,100,100,90,100,90,100
100,100,100,100,26,29,39
100,100,100,100,62,80,49
100,100,100,100,20,20,50
100,100,100,100,38,16,19
57,83,83,81,100,100,100
100,80,93,92,60,50,63
53,80,53,83,20,51,71
27,60,50,47,36,30,20
50,50,50,50,46,35,37
92,92,92,95,49,34,63
51,74,76,62,60,61,43
100,100,100,100,66,65,66
68,76,83,78,43,46,69
31,32,70,87,95,88,86
100,67,68,69,40,5,3
71,90,85,95,71,63,53
65,98,68,79,19,7,30
93,84,98,74,34,92,100
80,80,85,85,57,49,57
90,90,91,91,40,40,41
81,81,82,83,19,19,18
89,85,81,83,26,51,23
100,100,100,100,80,1,1
99,100,100,17,17,40,95
60,66,75,67,30,18,26
51,51,50,50,20,22,22
60,79,85,82,22,31,22
90,90,90,90,60,71,70
99,99,100,100,100,100,100
96,92,94,88,50,57,75
100,100,100,100,61,40,20
100,80,89,79,59,18,51
72,80,88,87,20,17,12
80,79,89,84,70,60,70
100,100,100,100,14,7,44
70,61,61,68,53,21,13
100,100,100,100,31,59,81
40,40,50,40,40,40,30
91,92,91,95,75,11,30
71,70,73,82,31,32,27
75,78,80,88,58,26,18
64,58,67,63,54,50,61
80,80,67,73,26,35,35
71,72,93,91,77,78,50
100,100,100,100,50,5,45
82,83,88,83,64,67,49
62,71,81,36,66,73,63
100,100,100,100,66,67,65
55,64,87,82,37,19,5
80,82,80,80,24,33,52
100,100,100,100,51,25,54
80,80,80,80,70,31,43
80,78,80,79,32,11,26
71,65,70,69,67,57,60
90,85,95,90,60,50,70
64,61,61,63,57,66,65
82,77,79,79,95,94,94
91,86,93,84,70,39,42
94,93,97,92,80,61,50
85,94,95,97,89,92,37
74,65,80,68,82,68,87
